cores;duration
1;1696552206
1;1652261272
1;1690451702
1;1656902385
1;1704494955
1;1656926921
1;1690870077
1;1654507203
1;1678085043
1;1652102825
2;17819715097
2;18414054045
2;18309203174
2;18692671518
2;17688324635
2;18411643279
2;17887318692
2;18482815275
2;18406377044
2;18003779712
3;40530417540
3;42588094829
3;43670707501
3;43611243551
3;39191654844
3;43938056458
3;44344876894
3;43170878398
3;39126865212
3;43068006003
4;77679597857
4;76902786210
4;75985710364
4;75669642169
4;76033544064
4;77012475543
4;76289733315
4;76151210650
4;76172124997
4;76226958167
