cores;duration
1;1677195598
1;1675032756
1;1674642132
1;1675992962
1;1676015096
1;1674872641
1;1676208294
1;1675306316
1;1675423910
1;1674985840
2;18993187142
2;20669271902
2;15243274461
2;21375090588
2;24497343640
2;21560959850
2;21399264781
2;21435635957
2;21403966970
2;21435672821
3;64092878654
3;64340070506
3;64342875642
3;63972811147
3;64303192129
3;64108770010
3;64075613231
3;64187955027
3;64018925324
3;63988618237
4;113097781468
4;114748912370
4;113274736140
4;113028243586
4;112052396457
4;113415087865
4;113174280614
4;112681980483
4;111904898084
4;111964942316
