len;duration;runs
64;204;1
64;122;1
64;122;1
64;122;1
64;122;1
64;122;1
64;122;1
64;122;1
64;122;1
128;122;1
128;204;1
128;163;1
128;204;1
128;163;1
128;162;1
128;162;1
128;163;1
128;163;1
256;285;1
256;285;1
256;325;1
256;326;1
256;326;1
256;285;1
256;284;1
256;285;1
256;447;1
512;529;1
512;489;1
512;488;1
512;529;1
512;488;1
512;529;1
512;488;1
512;529;1
512;529;1
1024;936;1
1024;936;1
1024;936;1
1024;936;1
1024;936;1
1024;936;1
1024;895;1
1024;936;1
1024;936;1
2048;1912;1
2048;3499;1
2048;1831;1
2048;1831;1
2048;1790;1
2048;1831;1
2048;1791;1
2048;1913;1
2048;1790;1
4096;3580;1
4096;3540;1
4096;3499;1
4096;3540;1
4096;3946;1
4096;3499;1
4096;3499;1
4096;4557;1
4096;3540;1
8192;6999;1
8192;6999;1
8192;6999;1
8192;6998;1
8192;6958;1
8192;6998;1
8192;6999;1
8192;6999;1
8192;7121;1
16384;13916;1
16384;15747;1
16384;13916;1
16384;13916;1
16384;13957;1
16384;13916;1
16384;14364;1
16384;13998;1
16384;13916;1
32768;27995;1
32768;28036;1
32768;27751;1
32768;51920;1
32768;27791;1
32768;27995;1
32768;28036;1
32768;27954;1
32768;27751;1
65536;55461;1
65536;55501;1
65536;55542;1
65536;55501;1
65536;78044;1
65536;55461;1
65536;55419;1
65536;55420;1
65536;55501;1
131072;110962;1
131072;129923;1
131072;130615;1
131072;111044;1
131072;111613;1
131072;110921;1
131072;110840;1
131072;110799;1
131072;111043;1
262144;245402;1
262144;221558;1
262144;250000;1
262144;221557;1
262144;243489;1
262144;221598;1
262144;221516;1
262144;221639;1
262144;221720;1
524288;442953;1
524288;443278;1
524288;443685;1
524288;465332;1
524288;442994;1
524288;467773;1
524288;465169;1
524288;465739;1
524288;465373;1
1048576;893270;1
1048576;914551;1
1048576;914836;1
1048576;886963;1
1048576;885864;1
1048576;887655;1
1048576;887492;1
1048576;916992;1
1048576;886800;1
2097152;1803996;1
2097152;1802978;1
2097152;1802409;1
2097152;1772501;1
2097152;1771688;1
2097152;1801228;1
2097152;1774251;1
2097152;1772420;1
2097152;1776082;1
4194304;3544555;1
4194304;3575196;1
4194304;3548706;1
4194304;3556559;1
4194304;3579589;1
4194304;3582356;1
4194304;3552002;1
4194304;3552002;1
4194304;3568196;1
8388608;7106567;1
8388608;7095785;1
8388608;7126343;1
8388608;7122314;1
8388608;7142700;1
8388608;7154866;1
8388608;7097331;1
8388608;7125448;1
8388608;7096110;1
16777216;14265747;1
16777216;14218099;1
16777216;14248210;1
16777216;14216309;1
16777216;14384969;1
16777216;14219889;1
16777216;14284465;1
16777216;14190023;1
16777216;14278646;1
33554432;28654337;1
33554432;28386109;1
33554432;28423665;1
33554432;28438964;1
33554432;28462891;1
33554432;28453898;1
33554432;28513957;1
33554432;28513956;1
33554432;28453085;1
