size;duration
134217728;9989339
134217728;13757365
134217728;13421712
134217728;9616618
134217728;14770996
134217728;12970255
134217728;12344319
134217728;11444824
134217728;10717163
134217728;11583903
268435456;20722168
268435456;28436483
268435456;17967652
268435456;20176350
268435456;19756469
268435456;19883627
268435456;21196981
268435456;26244141
268435456;21225708
268435456;21725830
536870912;39643432
536870912;45137370
536870912;45842488
536870912;46428589
536870912;38474528
536870912;36020793
536870912;45338704
536870912;41858521
536870912;38012289
536870912;40067952
