size;allocation;duration_allocation;duration_deallocation
16;16777216;1453414185;1641505046
16;16777216;1583515911;1602502808
16;16777216;1443778810;1794630005
16;16777216;1581174480;1683783081
16;16777216;1464979452;1630694093
16;16777216;1579884726;1609500204
16;16777216;1458728273;1619101563
16;16777216;1589483562;1625706422
128;2097152;209044027;224618164
128;2097152;265228231;245135946
128;2097152;211046184;230002034
128;2097152;265587850;244775675
128;2097152;208889852;228815226
128;2097152;244997803;254037435
128;2097152;212634033;245668294
128;2097152;213889201;246049438
256;1048576;154516357;113997640
256;1048576;166120239;123169515
256;1048576;154207072;116044352
256;1048576;161410970;124746501
256;1048576;155156779;118426921
256;1048576;167289877;123826009
256;1048576;155557983;116515422
256;1048576;164895753;122332397
1024;262144;58007162;35636637
1024;262144;58141235;39004924
1024;262144;59803385;35849203
1024;262144;57620280;39816121
1024;262144;57967123;37997925
1024;262144;62817505;38454427
1024;262144;57828044;35872518
1024;262144;58383220;42495280
2048;131072;38723307;42004110
2048;131072;39476848;37880534
2048;131072;44785685;41282755
2048;131072;40263306;37122640
2048;131072;39235880;41613363
2048;131072;39761109;38952311
2048;131072;42451172;41817098
2048;131072;45692789;38426962
4096;65536;69169190;110524088
4096;65536;68616943;95450317
4096;65536;69764079;96771607
4096;65536;67300293;95756917
4096;65536;73006714;94884928
4096;65536;67029379;94614379
4096;65536;66681600;98578410
4096;65536;63322469;102028727
8192;32768;71990031;78229533
8192;32768;71323242;83325074
8192;32768;71670980;81242554
8192;32768;74548950;75167277
8192;32768;65708537;82559367
8192;32768;75976929;85942912
8192;32768;71377157;108938273
8192;32768;79661540;81353475
