size;duration
16;20162668671
16;23413248831
16;19949002614
16;23792559663
16;19806807342
16;23211637910
16;19966547780
16;23185064343
128;2785325481
128;2841247601
128;2820550660
128;2878803143
128;2777021445
128;2777385499
128;2741977174
128;2845351848
256;1397387005
256;1409165202
256;1397751425
256;1412796387
256;1393897014
256;1407063355
256;1391411865
256;1403926392
1024;488709839
1024;391637248
1024;400611613
1024;398207682
1024;393551636
1024;388897379
1024;402154094
1024;402244629
2048;223946493
2048;235291423
2048;257282105
2048;221473511
2048;217873576
2048;237858073
2048;310131429
2048;224097657
4096;300469768
4096;345524781
4096;304507243
4096;346125162
4096;320543702
4096;357016439
4096;304372193
4096;316150432
8192;268008830
8192;270602743
8192;250007039
8192;265981609
8192;240070882
8192;246601644
8192;243422933
8192;296689494
