size;allocation;duration_allocation;duration_deallocation
16;16777216;9310837529;9414633020
16;16777216;9948526983;12699657558
16;16777216;9418458012;9613752731
16;16777216;9739417119;13038617886
16;16777216;9319853032;9673069015
16;16777216;9849173182;12959859626
16;16777216;9323002894;9561808232
16;16777216;10342789596;12651486375
128;2097152;1252851766;1336709799
128;2097152;1482986858;1360101360
128;2097152;1414349366;1343793661
128;2097152;1381601848;1363579510
128;2097152;1422793824;1327349488
128;2097152;1362910401;1367852418
128;2097152;1451863282;1338294841
128;2097152;1286712973;1355244182
256;1048576;698262167;685210327
256;1048576;700124227;692359497
256;1048576;683394613;683101645
256;1048576;701930339;694379029
256;1048576;695436890;682376750
256;1048576;703378622;690980836
256;1048576;697965780;689099529
256;1048576;698946981;694075603
1024;262144;207155151;203652751
1024;262144;203279134;202290446
1024;262144;202047119;216555827
1024;262144;303408488;206135132
1024;262144;203064575;201591472
1024;262144;205861369;204073853
1024;262144;205066976;205702026
1024;262144;202354818;213704794
2048;131072;88999146;126096028
2048;131072;90610880;134851807
2048;131072;170521078;124535685
2048;131072;90841919;124553060
2048;131072;87322428;124274658
2048;131072;90028484;125228190
2048;131072;86721883;128941325
2048;131072;96578980;127836222
4096;65536;151448324;145841594
4096;65536;157201904;139659912
4096;65536;158980306;145187623
4096;65536;159184082;139909953
4096;65536;139373657;147529419
4096;65536;136669271;133683228
4096;65536;144117595;136790893
4096;65536;157978272;150561076
8192;32768;107945923;108910970
8192;32768;136473388;111491171
8192;32768;106779256;109787598
8192;32768;145376017;123514648
8192;32768;123975505;108267456
8192;32768;132324951;110241455
8192;32768;107757609;109774536
8192;32768;137897543;109353719
