len;duration
64;195500366
64;194896484
64;194137858
64;194595703
64;194609741
64;198490194
64;194843180
64;194649577
64;194355672
64;194753581
128;184488607
128;184838217
128;182561930
128;182051025
128;181926473
128;182065471
128;182121542
128;182617798
128;182353109
128;181987589
256;186586019
256;182037597
256;182011434
256;182418579
256;182778646
256;182334025
256;182440755
256;182194051
256;185616903
256;182122436
512;186374146
512;184497885
512;182237671
512;185910238
512;182177287
512;182052124
512;181852905
512;182038167
512;182738444
512;182147950
1024;207772990
1024;182289754
1024;182106974
1024;182535848
1024;182560140
1024;182099853
1024;182024495
1024;182303264
1024;182271932
1024;182036052
2048;189007772
2048;182383586
2048;182080200
2048;182151611
2048;182883423
2048;185897095
2048;182400187
2048;181996867
2048;182574748
2048;182060424
2560;222674886
2560;182367187
2560;182009441
2560;182028117
2560;182348632
2560;182274536
2560;182229370
2560;182521363
2560;182736613
2560;182288493
3072;187438639
3072;182332154
3072;182355754
3072;182122233
3072;182597616
3072;182682862
3072;182113566
3072;186782877
3072;182501628
3072;182462158
4096;210992839
4096;182743489
4096;185792521
4096;182645956
4096;183161540
4096;182598673
4096;182523559
4096;182518921
4096;182720704
4096;182738526
6144;294883668
6144;288770549
6144;288787720
6144;288918417
6144;289151204
6144;292979085
6144;288903565
6144;289463827
6144;288566447
6144;289035888
8192;354003947
8192;326316814
8192;326256388
8192;326982382
8192;326495281
8192;330178304
8192;326069824
8192;325920573
8192;326846436
8192;328856405
10240;426897014
10240;354638021
10240;356022014
10240;358878581
10240;355472982
10240;354148844
10240;357446778
10240;354499349
10240;354500447
10240;358851562
12288;380788371
12288;374565999
12288;408498820
12288;380077922
12288;375237590
12288;373501831
12288;443271240
12288;373503336
12288;368142131
12288;369546590
16384;588619059
16384;575895427
16384;579190470
16384;660632975
16384;608129924
16384;624026815
16384;690758830
16384;572642904
16384;635154663
16384;628125774
24576;1098178549
24576;1151632488
24576;1066790365
24576;1049649130
24576;1118601685
24576;1059071453
24576;1072148642
24576;1100426677
24576;1123266114
24576;1087958375
32768;1482523926
32768;1443058635
32768;1447438966
32768;1437211508
32768;1452366578
32768;1441656332
32768;1443686483
32768;1440406699
32768;1441884767
32768;1440165610
49152;1958211631
49152;1926207114
49152;1930659791
49152;1919392295
49152;1930391969
49152;1930869549
49152;1960884481
49152;1926290488
49152;1924519288
49152;1917557618
65536;2253662152
65536;2244962322
65536;2248895875
65536;2247127768
65536;2245491985
65536;2251427858
65536;2247034141
65536;2245266033
65536;2245082602
65536;2262404136
98304;2442358685
98304;2442679444
98304;2435192506
98304;2439590130
98304;2443824383
98304;2436928142
98304;2444270509
98304;2435815675
98304;2437491985
98304;2439627646
131072;2531151938
131072;2536654054
131072;2527651043
131072;2530574017
131072;2534898683
131072;2532689455
131072;2527652630
131072;2525573284
131072;2544691245
131072;2527041383
196608;2619741050
196608;2624214520
196608;2645533245
196608;2644793133
196608;2615053631
196608;2627661378
196608;2626853313
196608;2622834271
196608;2653568849
196608;2632016237
262144;2852863690
262144;3896651369
262144;2866973838
262144;3183866294
262144;3091214682
262144;3347667523
262144;3389285158
262144;3112588503
262144;2895532676
262144;2846397218
524288;6256341271
524288;7164749108
524288;6630663007
524288;6428373905
524288;5771220706
524288;5415151329
524288;5908943321
524288;5615636396
524288;4935818362
524288;5305683962
786432;8633875045
786432;9000903203
786432;8603243779
786432;8897144780
786432;6831147180
786432;8991246790
786432;8498500656
786432;9234317672
786432;9158330978
786432;8739113896
1048576;11268268560
1048576;11657033372
1048576;11203306606
1048576;10428131759
1048576;11644320196
1048576;11712883429
1048576;10431308314
1048576;12063712082
1048576;11670572393
1048576;9603712895
1572864;15642394051
1572864;14362993089
1572864;16228948819
1572864;14950275438
1572864;16194241748
1572864;15008489468
1572864;16207168139
1572864;15262782967
1572864;15933008389
1572864;15353714688
2097152;17546912362
2097152;17520760425
2097152;18026472909
2097152;15397122077
2097152;18232464649
2097152;18344902841
2097152;17164227791
2097152;18453509002
2097152;17507554736
2097152;15541031095
4194304;21293813894
4194304;20568912322
4194304;19874006765
4194304;20041063527
4194304;21711077566
4194304;18903105193
4194304;20702119639
4194304;21267427338
4194304;19184960174
4194304;20918267141
8388608;23414941092
8388608;22635121145
8388608;20888359345
8388608;22281885346
8388608;23395936616
8388608;21268798798
8388608;22381084972
8388608;22260108613
8388608;22860014579
8388608;21698669973
16777216;25004716972
16777216;24583022391
16777216;23942835298
16777216;23639109590
16777216;23102117891
16777216;23400234590
16777216;24335644624
16777216;23273991955
16777216;24441020112
16777216;23945402314
33554432;27534376641
33554432;27360189833
33554432;26771048150
33554432;26796242485
33554432;26533384453
33554432;26546203382
33554432;26885324069
33554432;27619704319
33554432;27397586928
33554432;27629173516
