len;duration;threads
64;180486979;1
64;181917603;1
64;181663941;1
64;182704345;1
64;183218139;1
64;182774089;1
64;189357055;1
64;177054851;1
64;173595988;1
64;173733317;1
128;175728759;1
128;175626546;1
128;178431926;1
128;182180989;1
128;181643026;1
128;182389038;1
128;181960449;1
128;185112223;1
128;184250651;1
128;183481282;1
256;177181111;1
256;173984091;1
256;172939209;1
256;181857341;1
256;183157471;1
256;182337361;1
256;181504110;1
256;173384928;1
256;182319580;1
256;182316773;1
512;177985107;1
512;178075440;1
512;181841837;1
512;182310059;1
512;184469930;1
512;182176432;1
512;181923828;1
512;183427775;1
512;183371663;1
512;183678630;1
1024;177007039;1
1024;170967977;1
1024;181859742;1
1024;182438273;1
1024;182219848;1
1024;182124552;1
1024;183423625;1
1024;183077881;1
1024;183036458;1
1024;184085531;1
2048;178429484;1
2048;178573975;1
2048;181911336;1
2048;181126465;1
2048;182209758;1
2048;183208455;1
2048;187308228;1
2048;183811565;1
2048;183484660;1
2048;170544759;1
2560;177968058;1
2560;178497681;1
2560;182067830;1
2560;183407552;1
2560;182233195;1
2560;182302043;1
2560;174314372;1
2560;182176026;1
2560;182925619;1
2560;183255860;1
3072;177409546;1
3072;179064494;1
3072;170618816;1
3072;183032145;1
3072;181777547;1
3072;182536662;1
3072;182183757;1
3072;182926188;1
3072;182609172;1
3072;182396891;1
4096;177395793;1
4096;179677286;1
4096;183226155;1
4096;185071533;1
4096;185303019;1
4096;173681152;1
4096;184810466;1
4096;185489950;1
4096;184572754;1
4096;185220337;1
6144;292045655;1
6144;292737061;1
6144;292331624;1
6144;286739258;1
6144;292534994;1
6144;291995687;1
6144;297564860;1
6144;292079306;1
6144;291742594;1
6144;292970052;1
8192;339461142;1
8192;326358643;1
8192;336844767;1
8192;337478841;1
8192;336434122;1
8192;337706462;1
8192;337382976;1
8192;335932251;1
8192;338023641;1
8192;336611573;1
10240;359055298;1
10240;359638916;1
10240;418498779;1
10240;363353760;1
10240;366722372;1
10240;363578573;1
10240;363987875;1
10240;366097453;1
10240;366866659;1
10240;364798625;1
12288;384040446;1
12288;377508423;1
12288;375534384;1
12288;366590902;1
12288;382209351;1
12288;378604004;1
12288;393613281;1
12288;413338298;1
12288;390856893;1
12288;377597371;1
16384;535491008;1
16384;521947104;1
16384;529753907;1
16384;547355876;1
16384;574930095;1
16384;549024374;1
16384;523971721;1
16384;564865723;1
16384;575899943;1
16384;520569784;1
24576;750817343;1
24576;773558920;1
24576;765536744;1
24576;733638916;1
24576;756515055;1
24576;748485677;1
24576;759677491;1
24576;789478109;1
24576;789366008;1
24576;740965576;1
32768;1060977295;1
32768;1102200318;1
32768;1067154867;1
32768;1072194173;1
32768;1065627645;1
32768;1065322510;1
32768;1070883830;1
32768;1070651896;1
32768;1049243002;1
32768;1063512004;1
49152;1433371094;1
49152;1461347983;1
49152;1426321738;1
49152;1461430258;1
49152;1460286297;1
49152;1443223552;1
49152;1423575196;1
49152;1450604209;1
49152;1421257935;1
49152;1439986898;1
65536;1674417522;1
65536;1628093100;1
65536;1618750733;1
65536;1646560018;1
65536;1635068035;1
65536;1651900229;1
65536;1636684205;1
65536;1655413941;1
65536;1662422812;1
65536;1671980389;1
98304;1838774170;1
98304;1829288046;1
98304;1831429037;1
98304;1841784832;1
98304;1793481568;1
98304;1814232098;1
98304;1789562461;1
98304;1799862549;1
98304;1805377890;1
98304;1802690512;1
131072;1909484660;1
131072;1910442098;1
131072;1920117026;1
131072;1955376019;1
131072;1963298178;1
131072;1914473837;1
131072;1945492595;1
131072;1980482016;1
131072;2195023601;1
131072;2226828451;1
196608;2176870728;1
196608;2140887249;1
196608;2177808717;1
196608;2160930543;1
196608;2262876385;1
196608;2452833904;1
196608;2306395020;1
196608;2383509319;1
196608;2272301758;1
196608;2360273479;1
262144;2900394004;1
262144;2816137534;1
262144;2866346314;1
262144;2471771364;1
262144;2582943320;1
262144;2530887738;1
262144;2582531129;1
262144;2646968508;1
262144;2921207480;1
262144;2869595908;1
524288;4026864341;1
524288;4483581830;1
524288;4189868940;1
524288;4192840863;1
524288;4128701500;1
524288;4221914553;1
524288;3995690269;1
524288;4164268353;1
524288;3435297365;1
524288;3790522625;1
786432;6530304202;1
786432;6649876224;1
786432;6111086428;1
786432;6494680097;1
786432;6039737023;1
786432;5726814903;1
786432;5606796186;1
786432;5747365684;1
786432;5959553755;1
786432;7841603194;1
1048576;9537483362;1
1048576;8653770146;1
1048576;8881702275;1
1048576;8018379520;1
1048576;7612362146;1
1048576;8081129073;1
1048576;11601854417;1
1048576;10566313523;1
1048576;10347799484;1
1048576;9947176966;1
1572864;13748857388;1
1572864;14610866462;1
1572864;12046349534;1
1572864;14754413988;1
1572864;15526190682;1
1572864;15121940193;1
1572864;14691273445;1
1572864;15550844043;1
1572864;16002107104;1
1572864;16212240609;1
2097152;16449006519;1
2097152;15651059660;1
2097152;17697489958;1
2097152;18350415251;1
2097152;17620585906;1
2097152;18173633961;1
2097152;18765804534;1
2097152;18790466603;1
2097152;17704801197;1
2097152;17412311939;1
4194304;20712742727;1
4194304;22665181326;1
4194304;22579740409;1
4194304;23229322358;1
4194304;22074445974;1
4194304;20596431529;1
4194304;22478703950;1
4194304;22388787405;1
4194304;23044761892;1
4194304;21928745087;1
8388608;22982577567;1
8388608;25979835462;1
8388608;25422977511;1
8388608;26014314100;1
8388608;25808407401;1
8388608;24514950451;1
8388608;24832473483;1
8388608;24730808850;1
8388608;23819013480;1
8388608;25329737398;1
16777216;27906949354;1
16777216;27497475518;1
16777216;26617301608;1
16777216;26394777641;1
16777216;27027055840;1
16777216;26514400403;1
16777216;27158614190;1
16777216;26168975518;1
16777216;24808103040;1
16777216;23877243461;1
33554432;30305245661;1
33554432;30980193537;1
33554432;29159609186;1
33554432;28652802504;1
33554432;27860323012;1
33554432;26789087253;1
33554432;29708225926;1
33554432;28662031264;1
33554432;29590001927;1
33554432;29700852147;1
64;185215332;2
64;181699382;2
