len;duration;threads
63;200283935;1
63;216326660;1
63;213845174;1
63;214729451;1
63;216388265;1
63;213802979;1
63;213403646;1
63;218175456;1
63;216677124;1
63;224948934;1
128;199578492;1
128;199678955;1
128;199580526;1
128;199258057;1
128;199499227;1
128;199165731;1
128;199732178;1
128;200396240;1
128;202095907;1
128;199922974;1
256;196507853;1
256;196963176;1
256;196886922;1
256;199911540;1
256;200008139;1
256;199976522;1
256;199227376;1
256;203804118;1
256;193501058;1
256;198979248;1
512;196777303;1
512;196405843;1
512;198925415;1
512;199651774;1
512;199493327;1
512;199688883;1
512;199130697;1
512;199496013;1
512;200288900;1
512;202522054;1
1024;194976929;1
1024;196133261;1
1024;198786987;1
1024;200940959;1
1024;200066528;1
1024;199213216;1
1024;199893107;1
1024;199230916;1
1024;201622356;1
1024;202039469;1
2048;198322714;1
2048;197573405;1
2048;201005412;1
2048;199688842;1
2048;203825155;1
2048;201809855;1
2048;199867309;1
2048;199976847;1
2048;200197836;1
2048;200206583;1
2560;193846313;1
2560;199686442;1
2560;200193644;1
2560;199608033;1
2560;200010539;1
2560;200213583;1
2560;202108927;1
2560;200518840;1
2560;200124024;1
2560;199497111;1
3072;199698324;1
3072;201058349;1
3072;201716797;1
3072;201415975;1
3072;207561076;1
3072;201249552;1
3072;201361084;1
3072;199439942;1
3072;201400309;1
3072;198923381;1
4096;198516927;1
4096;207986410;1
4096;191576782;1
4096;202184000;1
4096;214113322;1
4096;202288737;1
4096;195040894;1
4096;194693237;1
4096;202958862;1
4096;202878947;1
6144;304174235;1
6144;293828613;1
6144;300741740;1
6144;302876221;1
6144;296946330;1
6144;307658814;1
6144;306643514;1
6144;297978272;1
6144;298433757;1
6144;317760701;1
8192;338587362;1
8192;336441773;1
8192;341581421;1
8192;342437419;1
8192;345019531;1
8192;342202149;1
8192;342398071;1
8192;342411215;1
8192;342018677;1
8192;344335083;1
10240;363916667;1
10240;379929077;1
10240;374122355;1
10240;380555501;1
10240;368467814;1
10240;368420451;1
10240;367585979;1
10240;367627930;1
10240;367627605;1
10240;389987590;1
12288;389286865;1
12288;380419149;1
12288;381367229;1
12288;404125244;1
12288;398505738;1
12288;417006754;1
12288;384117310;1
12288;408001465;1
12288;394787720;1
12288;416796509;1
16384;648495769;1
16384;541758382;1
16384;565713990;1
16384;530358358;1
16384;575512288;1
16384;576920207;1
16384;591545899;1
16384;620888591;1
16384;605466594;1
16384;573916016;1
24576;821654338;1
24576;817467448;1
24576;887190267;1
24576;850544759;1
24576;802843913;1
24576;826834717;1
24576;834298625;1
24576;767298869;1
24576;813979086;1
24576;814084107;1
32768;1106382813;1
32768;1119084433;1
32768;1070753012;1
32768;1098233968;1
32768;1096239544;1
32768;1069944336;1
32768;1184654419;1
32768;1111619915;1
32768;1123712403;1
32768;1179785768;1
49152;1494605429;1
49152;1536408774;1
49152;1474708660;1
49152;1501956178;1
49152;1504471477;1
49152;1462107423;1
49152;1474368369;1
49152;1554705933;1
49152;1545484091;1
49152;1510160727;1
65536;1688710328;1
65536;1717736126;1
65536;1693667115;1
65536;1691995525;1
65536;1683830160;1
