len;duration;threads
63;202219157;1
63;220333822;1
63;206350667;1
63;208148193;1
63;198427979;1
63;200927897;1
63;200605469;1
63;200185832;1
63;202090698;1
63;201071859;1
128;200513957;1
128;200087525;1
128;202064291;1
128;205924520;1
128;206513672;1
128;206195801;1
128;207007772;1
128;206588175;1
128;205854696;1
128;205915934;1
256;198113119;1
256;201539388;1
256;191165771;1
256;200978882;1
256;201019002;1
256;199851929;1
256;201387329;1
256;200577108;1
256;200920573;1
256;201393718;1
512;196566732;1
512;194779134;1
512;198792440;1
512;201120402;1
512;202251180;1
512;197843710;1
512;201103475;1
512;203698893;1
512;199763061;1
512;199094645;1
1024;200177490;1
1024;193824504;1
1024;206369751;1
1024;205656331;1
1024;206019816;1
1024;206505860;1
1024;207534506;1
1024;206916301;1
1024;199438599;1
1024;203392049;1
2048;195298584;1
2048;195164306;1
2048;208441935;1
2048;198904663;1
2048;194369182;1
2048;199622477;1
2048;199583781;1
2048;200578328;1
2048;199137898;1
2048;198612305;1
2560;194291952;1
2560;194646769;1
2560;199888265;1
2560;205186890;1
2560;190366862;1
2560;196043254;1
2560;195236694;1
2560;200732178;1
2560;201315430;1
2560;203712891;1
3072;194238159;1
3072;199290731;1
3072;190796834;1
3072;191825562;1
3072;199441406;1
3072;199732016;1
3072;199917929;1
3072;198941732;1
3072;199705567;1
3072;199353027;1
4096;197350504;1
4096;202330689;1
4096;201936890;1
4096;202192708;1
4096;202490845;1
4096;202730713;1
4096;190842244;1
4096;205282918;1
4096;201391276;1
4096;202287761;1
6144;295749919;1
6144;304472697;1
6144;307980102;1
6144;307639730;1
6144;300121379;1
6144;309293417;1
6144;298814942;1
6144;300833700;1
6144;296999756;1
6144;306438273;1
8192;340909302;1
8192;341010457;1
8192;339398031;1
8192;345352987;1
8192;346366618;1
8192;349144816;1
8192;341559285;1
8192;341829224;1
8192;341898601;1
8192;346121257;1
10240;372021851;1
10240;369198649;1
10240;373033325;1
10240;368740031;1
10240;370407633;1
10240;369249634;1
10240;375538697;1
10240;367774089;1
10240;367306722;1
10240;373456380;1
12288;379673909;1
